2017-03-27  08:20:20.672,  Generating log file
2017-03-27  08:20:20.684,  loading data from: Star-Wars-Yoda.csv
2017-03-27  08:20:20.802,  2 / 218,   14.0 12.0
2017-03-27  08:20:20.815,  3 / 218,   13.0 9.0
2017-03-27  08:20:20.827,  4 / 218,   6.0 4.0
2017-03-27  08:20:20.841,  5 / 218,   6.0 7.0
2017-03-27  08:20:20.854,  6 / 218,   22.0 22.0
2017-03-27  08:20:20.869,  7 / 218,   20.0 19.0
2017-03-27  08:20:20.882,  8 / 218,   16.0 12.0
2017-03-27  08:20:20.895,  9 / 218,   7.0 4.0
2017-03-27  08:20:20.907,  10 / 218,   7.0 1.0
2017-03-27  08:20:20.921,  11 / 218,   7.0 -1.0
2017-03-27  08:20:20.934,  12 / 218,   4.0 -6.0
2017-03-27  08:20:20.947,  13 / 218,   14.0 -14.0
2017-03-27  08:20:20.964,  14 / 218,   19.0 -7.0
2017-03-27  08:20:20.977,  15 / 218,   27.0 -2.0
2017-03-27  08:20:20.991,  16 / 218,   41.0 3.0
2017-03-27  08:20:21.003,  17 / 218,   39.0 5.0
2017-03-27  08:20:21.015,  18 / 218,   8.0 2.0
2017-03-27  08:20:21.027,  19 / 218,   2.0 2.0
2017-03-27  08:20:21.046,  20 / 218,   -13.0 11.0
2017-03-27  08:20:21.060,  21 / 218,   -13.0 13.0
2017-03-27  08:20:21.073,  22 / 218,   -7.0 12.0
2017-03-27  08:20:21.085,  23 / 218,   -2.0 11.0
2017-03-27  08:20:21.099,  24 / 218,   3.0 10.0
2017-03-27  08:20:21.112,  25 / 218,   7.0 11.0
2017-03-27  08:20:21.124,  26 / 218,   10.0 9.0
2017-03-27  08:20:21.138,  27 / 218,   15.0 9.0
2017-03-27  08:20:21.153,  28 / 218,   17.0 6.0
2017-03-27  08:20:21.168,  29 / 218,   58.0 6.0
2017-03-27  08:20:21.180,  30 / 218,   90.0 9.0
2017-03-27  08:20:21.192,  31 / 218,   22.0 1.0
2017-03-27  08:20:21.204,  32 / 218,   16.0 -2.0
2017-03-27  08:20:21.219,  33 / 218,   14.0 -7.0
2017-03-27  08:20:21.233,  34 / 218,   16.0 -13.0
2017-03-27  08:20:21.247,  35 / 218,   11.0 -12.0
2017-03-27  08:20:21.259,  36 / 218,   5.0 -12.0
2017-03-27  08:20:21.271,  37 / 218,   0.0 -10.0
2017-03-27  08:20:21.286,  38 / 218,   -2.0 -13.0
2017-03-27  08:20:21.300,  39 / 218,   -3.0 -12.0
2017-03-27  08:20:21.312,  40 / 218,   -4.0 -7.0
2017-03-27  08:20:21.324,  41 / 218,   -118.0 -113.0
2017-03-27  08:20:21.336,  42 / 218,   -6.0 -9.0
2017-03-27  08:20:21.353,  43 / 218,   15.0 -12.0
2017-03-27  08:20:21.365,  44 / 218,   41.0 -23.0
2017-03-27  08:20:21.378,  45 / 218,   41.0 -16.0
2017-03-27  08:20:21.392,  46 / 218,   25.0 -10.0
2017-03-27  08:20:21.407,  47 / 218,   20.0 -14.0
2017-03-27  08:20:21.421,  48 / 218,   6.0 -7.0
2017-03-27  08:20:21.433,  49 / 218,   4.0 -10.0
2017-03-27  08:20:21.447,  50 / 218,   4.0 -18.0
2017-03-27  08:20:21.463,  51 / 218,   -2.0 -16.0
2017-03-27  08:20:21.475,  52 / 218,   -8.0 -14.0
2017-03-27  08:20:21.487,  53 / 218,   -14.0 -11.0
2017-03-27  08:20:21.502,  54 / 218,   -32.0 -14.0
2017-03-27  08:20:21.518,  55 / 218,   -70.0 -21.0
2017-03-27  08:20:21.530,  56 / 218,   -43.0 -9.0
2017-03-27  08:20:21.544,  57 / 218,   -34.0 -2.0
2017-03-27  08:20:21.557,  58 / 218,   -14.0 1.0
2017-03-27  08:20:21.569,  59 / 218,   -12.0 3.0
2017-03-27  08:20:21.582,  60 / 218,   -11.0 4.0
2017-03-27  08:20:21.594,  61 / 218,   -10.0 5.0
2017-03-27  08:20:21.609,  62 / 218,   -7.0 5.0
