2017-03-27  08:59:40.809,  Generating log file
2017-03-27  08:59:40.817,  loading data from: Star-Wars-Yoda.csv
2017-03-27  08:59:41.027,  Connected to Arduino on /dev/ttyACM0
2017-03-27  08:59:43.044,  2 / 218,   14.0 12.0
2017-03-27  08:59:43.053,  3 / 218,   13.0 9.0
2017-03-27  08:59:43.062,  4 / 218,   6.0 4.0
2017-03-27  08:59:43.071,  5 / 218,   6.0 7.0
2017-03-27  08:59:43.080,  6 / 218,   22.0 22.0
2017-03-27  08:59:43.090,  7 / 218,   20.0 19.0
2017-03-27  08:59:43.099,  8 / 218,   16.0 12.0
2017-03-27  08:59:43.108,  9 / 218,   7.0 4.0
2017-03-27  08:59:43.117,  10 / 218,   7.0 1.0
2017-03-27  08:59:43.133,  11 / 218,   7.0 -1.0
2017-03-27  08:59:43.149,  12 / 218,   4.0 -6.0
2017-03-27  08:59:43.165,  13 / 218,   14.0 -14.0
2017-03-27  08:59:43.181,  14 / 218,   19.0 -7.0
2017-03-27  08:59:43.203,  15 / 218,   27.0 -2.0
2017-03-27  08:59:43.219,  16 / 218,   41.0 3.0
2017-03-27  08:59:43.227,  17 / 218,   39.0 5.0
2017-03-27  08:59:43.236,  18 / 218,   8.0 2.0
2017-03-27  08:59:43.246,  19 / 218,   2.0 2.0
2017-03-27  08:59:43.255,  20 / 218,   -13.0 11.0
2017-03-27  08:59:43.264,  21 / 218,   -13.0 13.0
2017-03-27  08:59:43.272,  22 / 218,   -7.0 12.0
2017-03-27  08:59:43.281,  23 / 218,   -2.0 11.0
2017-03-27  08:59:43.290,  24 / 218,   3.0 10.0
2017-03-27  08:59:43.302,  25 / 218,   7.0 11.0
2017-03-27  08:59:43.311,  26 / 218,   10.0 9.0
2017-03-27  08:59:43.320,  27 / 218,   15.0 9.0
2017-03-27  08:59:43.329,  28 / 218,   17.0 6.0
2017-03-27  08:59:43.338,  29 / 218,   58.0 6.0
2017-03-27  08:59:43.347,  30 / 218,   90.0 9.0
