2017-03-27  09:14:54.879,  Generating log file
2017-03-27  09:14:54.891,  loading data from: Star-Wars-Yoda.csv
2017-03-27  09:14:55.006,  Connected to Arduino on /dev/ttyACM0
2017-03-27  09:14:57.028,  2 / 218,   14.0 12.0
2017-03-27  09:14:57.040,  3 / 218,   13.0 9.0
2017-03-27  09:14:57.053,  4 / 218,   6.0 4.0
2017-03-27  09:14:57.069,  5 / 218,   6.0 7.0
2017-03-27  09:14:57.082,  6 / 218,   22.0 22.0
2017-03-27  09:14:57.098,  7 / 218,   20.0 19.0
2017-03-27  09:14:57.110,  8 / 218,   16.0 12.0
2017-03-27  09:14:57.125,  9 / 218,   7.0 4.0
2017-03-27  09:14:57.137,  10 / 218,   7.0 1.0
2017-03-27  09:14:57.151,  11 / 218,   7.0 -1.0
2017-03-27  09:14:57.164,  12 / 218,   4.0 -6.0
2017-03-27  09:14:57.179,  13 / 218,   14.0 -14.0
2017-03-27  09:14:57.190,  14 / 218,   19.0 -7.0
2017-03-27  09:14:57.202,  15 / 218,   27.0 -2.0
2017-03-27  09:14:57.214,  16 / 218,   41.0 3.0
2017-03-27  09:14:57.229,  17 / 218,   39.0 5.0
2017-03-27  09:14:57.241,  18 / 218,   8.0 2.0
2017-03-27  09:14:57.254,  19 / 218,   2.0 2.0
2017-03-27  09:14:57.266,  20 / 218,   -13.0 11.0
2017-03-27  09:14:57.279,  21 / 218,   -13.0 13.0
2017-03-27  09:14:57.295,  22 / 218,   -7.0 12.0
2017-03-27  09:14:57.309,  23 / 218,   -2.0 11.0
2017-03-27  09:14:57.320,  24 / 218,   3.0 10.0
2017-03-27  09:14:57.332,  25 / 218,   7.0 11.0
2017-03-27  09:14:57.345,  26 / 218,   10.0 9.0
2017-03-27  09:14:57.360,  27 / 218,   15.0 9.0
2017-03-27  09:14:57.374,  28 / 218,   17.0 6.0
2017-03-27  09:14:57.386,  29 / 218,   58.0 6.0
2017-03-27  09:14:57.398,  30 / 218,   90.0 9.0
2017-03-27  09:14:57.410,  31 / 218,   22.0 1.0
2017-03-27  09:14:57.422,  32 / 218,   16.0 -2.0
2017-03-27  09:14:57.438,  33 / 218,   14.0 -7.0
2017-03-27  09:14:57.450,  34 / 218,   16.0 -13.0
2017-03-27  09:14:57.464,  35 / 218,   11.0 -12.0
2017-03-27  09:14:57.478,  36 / 218,   5.0 -12.0
2017-03-27  09:14:57.490,  37 / 218,   0.0 -10.0
2017-03-27  09:14:57.504,  38 / 218,   -2.0 -13.0
2017-03-27  09:14:57.516,  39 / 218,   -3.0 -12.0
2017-03-27  09:14:57.528,  40 / 218,   -4.0 -7.0
2017-03-27  09:14:57.540,  41 / 218,   -118.0 -113.0
2017-03-27  09:14:57.554,  42 / 218,   -6.0 -9.0
2017-03-27  09:14:57.566,  43 / 218,   15.0 -12.0
2017-03-27  09:14:57.581,  44 / 218,   41.0 -23.0
2017-03-27  09:14:57.593,  45 / 218,   41.0 -16.0
2017-03-27  09:14:57.605,  46 / 218,   25.0 -10.0
2017-03-27  09:14:57.617,  47 / 218,   20.0 -14.0
2017-03-27  09:14:57.629,  48 / 218,   6.0 -7.0
2017-03-27  09:14:57.644,  49 / 218,   4.0 -10.0
2017-03-27  09:14:57.659,  50 / 218,   4.0 -18.0
2017-03-27  09:14:57.670,  51 / 218,   -2.0 -16.0
2017-03-27  09:14:57.684,  52 / 218,   -8.0 -14.0
2017-03-27  09:14:57.696,  53 / 218,   -14.0 -11.0
2017-03-27  09:14:57.709,  54 / 218,   -32.0 -14.0
2017-03-27  09:14:57.722,  55 / 218,   -70.0 -21.0
2017-03-27  09:14:57.734,  56 / 218,   -43.0 -9.0
2017-03-27  09:14:57.746,  57 / 218,   -34.0 -2.0
2017-03-27  09:14:57.758,  58 / 218,   -14.0 1.0
2017-03-27  09:14:57.770,  59 / 218,   -12.0 3.0
2017-03-27  09:14:57.782,  60 / 218,   -11.0 4.0
2017-03-27  09:14:57.798,  61 / 218,   -10.0 5.0
2017-03-27  09:14:57.811,  62 / 218,   -7.0 5.0
2017-03-27  09:14:57.826,  63 / 218,   -10.0 13.0
2017-03-27  09:14:57.838,  64 / 218,   -9.0 13.0
2017-03-27  09:14:57.851,  65 / 218,   -3.0 8.0
2017-03-27  09:14:57.863,  66 / 218,   0.0 10.0
2017-03-27  09:14:57.876,  67 / 218,   5.0 9.0
2017-03-27  09:14:57.891,  68 / 218,   3.0 3.0
2017-03-27  09:14:57.903,  69 / 218,   -6.0 -2.0
