2017-03-29  14:33:50.767,  Generating log file
2017-03-29  14:33:50.780,  loading data from: cat_outline_11_9_16_tsp.csv
2017-03-29  14:33:50.925,  Connected to Arduino on /dev/ttyACM0
2017-03-29  14:33:52.945,  2 / 702,   -2.0 -5.0
2017-03-29  14:33:53.010,  3 / 702,   -3.0 -5.0
2017-03-29  14:33:53.301,  4 / 702,   -3.0 -5.0
2017-03-29  14:33:53.653,  5 / 702,   -3.0 -5.0
2017-03-29  14:33:53.943,  6 / 702,   -5.0 -5.0
2017-03-29  14:33:54.288,  7 / 702,   -4.0 -7.0
2017-03-29  14:33:54.630,  8 / 702,   -6.0 -9.0
2017-03-29  14:33:55.020,  9 / 702,   -6.0 -9.0
2017-03-29  14:33:55.503,  10 / 702,   -19.0 -22.0
2017-03-29  14:33:55.984,  11 / 702,   -5.0 -5.0
2017-03-29  14:33:56.969,  12 / 702,   -6.0 -4.0
2017-03-29  14:33:57.311,  13 / 702,   -4.0 -4.0
2017-03-29  14:33:57.653,  14 / 702,   -2.0 -5.0
2017-03-29  14:33:57.945,  15 / 702,   1.0 -5.0
2017-03-29  14:33:58.237,  16 / 702,   2.0 -6.0
2017-03-29  14:33:58.561,  17 / 702,   4.0 -8.0
2017-03-29  14:33:59.043,  18 / 702,   2.0 -8.0
2017-03-29  14:33:59.486,  19 / 702,   2.0 -6.0
2017-03-29  14:33:59.960,  20 / 702,   2.0 -5.0
